timestamp,source_ip,destination_ip,protocol,attack_type,severity,status,packet_size,duration,num_packets,attack_score,rand_noise,log_duration,log_attack_score
01JAN24:00:00:00,129.153.198.180,166.25.139.113,HTTP,Ransomware,Low,Blocked,952,118.78,440,2432.72094,-1.276310666,4.7772731268,6.7216470008
01JAN24:01:00:00,183.214.39.114,38.64.254.108,HTTPS,SQL Injection,High,Blocked,503,89.67,40,1105.1151629,-2.241486134,4.4961363765,6.4384690305
01JAN24:02:00:00,113.163.209.250,48.74.5.250,ICMP,Phishing,Low,Blocked,489,260.1,363,3312.0586475,-15.83313899,5.5610662109,7.4982421124
01JAN24:03:00:00,133.144.103.224,23.112.190.220,HTTPS,DDoS,High,Successful,1394,573.24751623,280,6050.0634842,-31.85270837,6.3513176064,8.2892581581
01JAN24:04:00:00,130.8.186.60,210.174.162.53,HTTPS,Malware,High,Successful,1316,257.34,226,3147.9268327,4.7307592829,5.5503982066,7.4989310661
01JAN24:05:00:00,77.254.42.34,58.39.68.129,UDP,Brute Force,Medium,Blocked,1348,148.55,456,3024.3971344,18.545169566,5.0009216692,6.9645090583
01JAN24:06:00:00,112.108.176.251,120.11.51.145,ICMP,Brute Force,High,Blocked,1337,39.37,108,1231.8297223,-14.97229121,3.673004359,5.5630546546
01JAN24:07:00:00,3.173.150.154,128.116.142.157,ICMP,DDoS,Medium,Blocked,59,208.9,245,2358.4584673,41.351838726,5.3418557164,7.3156519942
01JAN24:08:00:00,116.115.120.25,135.138.128.252,ICMP,Malware,Medium,Blocked,278,61.9,255,1263.7804233,8.8548805236,4.1255203412,6.0916602517
01JAN24:09:00:00,160.26.158.113,14.0.31.84,HTTPS,DDoS,Low,Blocked,1333,132.42,33,1783.3731307,5.8168939857,4.885978765,6.8381446138
01JAN24:10:00:00,181.27.237.216,148.55.187.208,HTTP,Phishing,Low,Blocked,457,19.59,23,525.5978661,-7.07006841,2.9750197424,4.8679954333
01JAN24:11:00:00,149.198.170.29,38.210.66.109,ICMP,SQL Injection,Critical,Blocked,1373,247.61,333,3532.4772681,27.786384996,5.5118549681,7.4736691324
01JAN24:12:00:00,124.220.123.53,108.14.225.49,HTTPS,Brute Force,Medium,Successful,1094,37.87,54,929.15118178,-6.098850421,3.634159506,5.5567939282
01JAN24:13:00:00,202.172.86.30,123.99.116.60,UDP,Phishing,Medium,Blocked,1167,270.94,309,3587.3505411,115.09137174,5.6018974311,7.6067211887
01JAN24:14:00:00,88.80.186.159,1.141.22.69,HTTP,SQL Injection,Medium,Blocked,225,259.28,49,2433.7094404,2.0364103193,5.5579085974,7.5049400983
01JAN24:15:00:00,86.3.94.220,199.203.127.28,UDP,Phishing,Medium,Successful,,139.43,462,0,33.601839238,4.9375627549,6.9173212283
01JAN24:16:00:00,130.199.228.88,189.57.42.65,HTTP,Malware,Low,Blocked,1273,223.34,78,2589.9958238,33.771493817,5.4086953188,7.3759770115
01JAN24:17:00:00,179.254.147.111,7.220.24.14,HTTPS,Brute Force,Medium,Blocked,1477,185.87,336,3209.5220603,14.126553494,5.2250475584,7.1817566181
01JAN24:18:00:00,193.193.207.66,111.189.123.75,TCP,DDoS,High,Blocked,1344,240.94,433,3855.0820763,51.3540728,5.4845479813,7.4604523781
01JAN24:19:00:00,82.195.110.208,122.116.6.136,HTTP,DDoS,Low,Blocked,292,129.6,358,2122.4527435,23.590471371,4.8644528611,6.8360342051
01JAN24:20:00:00,174.228.160.231,153.122.245.55,UDP,SQL Injection,Low,Successful,58,235.76,122,2150.5456168,10.689955863,5.4628143808,7.4151811095
01JAN24:22:00:00,78.149.226.163,190.74.129.86,HTTP,Malware,Medium,Blocked,1199,282.3,359,3813.446351,43.888463144,5.6429703707,7.610847084
01JAN24:23:00:00,178.141.167.230,181.45.108.247,TCP,SQL Injection,High,Blocked,,145.96,90,0,-37.61354362,4.9833326801,6.8917340887
02JAN24:00:00:00,169.227.59.103,89.162.202.54,TCP,Ransomware,Low,Blocked,42,138.84,346,1908.4253455,17.027190182,4.933322263,6.8966004953
02JAN24:01:00:00,,160.213.53.81,ICMP,Phishing,Low,Successful,1299,235.54,193,2914.933063,86.730861474,5.4618807929,7.4590570995
02JAN24:02:00:00,151.89.105.16,104.21.171.161,ICMP,Malware,Medium,Successful,893,246.49,416,3389.9826233,113.53287166,5.5073214653,7.5169570404
02JAN24:03:00:00,109.175.48.85,162.83.67.232,UDP,Phishing,High,Blocked,267,166.39,377,2568.0324793,-47.03913173,5.1143344905,7.0190201202
02JAN24:04:00:00,101.136.177.81,29.238.156.171,HTTP,Brute Force,,Blocked,952,54.02,463,1953.5932784,-21.01914285,3.9893545335,5.8780742879
02JAN24:05:00:00,132.145.219.213,80.214.127.208,HTTP,Malware,Medium,Blocked,538,140.38,244,1937.876443,-48.34725241,4.9443531025,6.8398112404
02JAN24:06:00:00,138.243.239.128,113.71.215.191,ICMP,Ransomware,High,Successful,560,290.42,149,2926.5420095,-80.80400897,5.6713281855,7.5766794372
02JAN24:07:00:00,11.234.190.220,152.152.204.31,HTTP,Brute Force,Medium,Blocked,741,225.92,146,2403.0477003,20.692191027,5.4201809986,7.3790906467
02JAN24:08:00:00,110.18.63.223,207.52.133.74,HTTP,DDoS,High,Blocked,956,243.37,478,3589.7454128,-67.88040606,5.4945829601,7.3998319977
02JAN24:09:00:00,124.224.226.204,146.85.131.13,TCP,Ransomware,High,Blocked,1202,9.94,316,1534.5013946,1.2574003535,2.2965680267,4.260387256
02JAN24:10:00:00,131.148.124.195,177.214.188.180,ICMP,SQL Injection,Low,Blocked,1339,140.41,378,2786.3306224,-1.219015567,4.9445667853,6.8892358424
02JAN24:11:00:00,112.131.123.138,205.102.244.140,HTTPS,DDoS,Low,,330,194.02,141,2190.20679,-22.02869908,5.2679612981,7.1975186672
02JAN24:12:00:00,166.107.43.197,156.24.30.58,ICMP,DDoS,Low,Blocked,1116,249.03,408,3522.2952298,-48.13698294,5.5175734113,7.4354811027
02JAN24:13:00:00,121.176.23.197,82.77.238.67,HTTPS,SQL Injection,Medium,Blocked,1173,14.88,286,1424.9922624,-2.930811641,2.7000187014,4.6173872366
02JAN24:14:00:00,218.17.215.90,97.218.118.79,TCP,Malware,Critical,Blocked,754,255.75,386,3479.1523839,-33.03718528,5.5442004439,7.4714842105
02JAN24:15:00:00,100.255.205.158,130.78.211.92,UDP,DDoS,Medium,Blocked,987,164.57,339,2730.0069223,-21.49214879,5.1033360724,7.0304133998
02JAN24:16:00:00,61.93.212.42,32.4.180.230,HTTP,Ransomware,Low,Successful,687,59.27,111,1080.3691042,-8.141785852,4.0821034445,6.0081943801
02JAN24:17:00:00,72.239.180.7,193.44.118.169,TCP,Brute Force,High,Blocked,1067,95.24,108,1450.4658353,-24.7083907,4.5564001266,6.464544096
02JAN24:18:00:00,116.52.48.139,198.230.65.73,HTTP,DDoS,Medium,Blocked,723,84.65,367,1951.8435646,12.225715335,4.4385252267,6.4048576874
02JAN24:19:00:00,189.181.186.216,57.74.6.92,UDP,Ransomware,Low,Blocked,909,159.3,281,2367.7864937,-30.93623068,5.0707892797,6.9885642585
02JAN24:20:00:00,220.199.227.146,44.209.226.164,UDP,Phishing,Medium,Blocked,,15.6,50,0,6.301121081,2.7472715553,4.7492803228
02JAN24:21:00:00,40.218.109.97,9.25.14.81,TCP,Ransomware,Medium,Blocked,133,47.64,14,419.51181901,4.7905892717,3.8636729544,5.8238461647
02JAN24:22:00:00,9.116.93.109,217.26.146.180,UDP,Brute Force,High,Successful,979,243.83,134,2865.7062312,-87.27998085,5.4964713022,7.3898912807
02JAN24:23:00:00,179.130.62.230,187.35.152.164,HTTPS,Ransomware,Low,Blocked,599,39.87,76,802.75676662,-3.586199615,3.6856244122,5.6186014593
03JAN24:00:00:00,106.143.73.72,49.178.77.248,UDP,SQL Injection,Low,Successful,252,70.1,84,835.17488954,35.84191453,4.2499229367,6.2663309571
03JAN24:01:00:00,166.193.42.206,115.28.198.115,HTTP,Brute Force,Medium,Blocked,475,136.07,343,2276.2647421,10.061291691,4.9131695327,6.8695873652
